train/critic_loss,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/n_updates,time/episodes,time/fps
0.34888774156570435,90083,0.18,-28.024197960000002,0.0005,27.28626251220703,-0.243198424577713,15.72,2551,0.030765922740101814,89982,5732,35
1.8110527992248535,90140,0.19,-27.832828,0.0005,27.433441162109375,0.1238480806350708,15.72,2553,0.030275514349341393,90039,5736,35
0.366122841835022,90200,0.21,-27.37621337000001,0.0005,25.214069366455078,0.9162629842758179,15.71,2555,0.030455732718110085,90099,5740,35
1.500046968460083,90251,0.21,-27.40961848,0.0005,25.894302368164062,-0.56630539894104,15.58,2556,0.031340595334768295,90150,5744,35
0.4579971730709076,90312,0.22,-27.32916317,0.0005,26.055187225341797,-0.5805866718292236,15.43,2558,0.03118855692446232,90211,5748,35
0.5281115174293518,90375,0.2,-27.7183241,0.0005,25.203125,1.7000010013580322,15.21,2560,0.030975202098488808,90274,5752,35
1.256596565246582,90444,0.19,-27.923302330000002,0.0005,27.006656646728516,-0.4314810335636139,15.34,2562,0.03147407993674278,90343,5756,35
0.37481558322906494,90506,0.19,-27.96824337,0.0005,25.47824478149414,0.3541741669178009,15.41,2563,0.030489608645439148,90405,5760,35
0.46650412678718567,90577,0.19,-27.995426010000006,0.0005,26.87095832824707,-0.4977600574493408,15.41,2565,0.030910898000001907,90476,5764,35
0.5739147663116455,90653,0.21,-27.49847621,0.0005,26.84967803955078,-0.042583972215652466,15.58,2567,0.03018753044307232,90552,5768,35
0.5007642507553101,90706,0.2,-27.920276569999995,0.0005,27.338401794433594,0.38833415508270264,15.35,2569,0.03086472488939762,90605,5772,35
1.0248849391937256,90774,0.23,-27.008099199999997,0.0005,26.83974266052246,-0.018002867698669434,15.54,2571,0.0309215746819973,90673,5776,35
0.9112862944602966,90835,0.24,-26.796954819999996,0.0005,27.174945831298828,-1.0753929615020752,15.66,2573,0.03092009760439396,90734,5780,35
1.6802008152008057,90908,0.25,-26.313357080000007,0.0005,26.026580810546875,-0.5635194778442383,15.95,2575,0.030054258182644844,90807,5784,35
0.47321778535842896,90979,0.26,-26.024873660000004,0.0005,25.887252807617188,-0.005708217620849609,16.05,2577,0.03006644919514656,90878,5788,35
1.2011455297470093,91040,0.26,-25.95452794,0.0005,26.249832153320312,-0.609566867351532,16.02,2578,0.03037349134683609,90939,5792,35
0.6398868560791016,91104,0.27,-25.573876969999993,0.0005,25.654203414916992,0.04201982170343399,16.08,2580,0.030569318681955338,91003,5796,35
1.7208384275436401,91159,0.27,-25.747073299999997,0.0005,24.786571502685547,-0.13559626042842865,15.94,2581,0.030802495777606964,91058,5800,35
0.31800904870033264,91218,0.27,-25.907814489999996,0.0005,25.679351806640625,0.18805952370166779,15.89,2583,0.03037882409989834,91117,5804,35
1.2247207164764404,91276,0.29,-25.39287104,0.0005,27.45269775390625,-0.05135272443294525,15.93,2585,0.029825685545802116,91175,5808,35
0.9154278635978699,91328,0.27,-26.187595469999998,0.0005,25.876123428344727,0.9337690472602844,15.79,2586,0.029821021482348442,91227,5812,35
0.5405805110931396,91391,0.29,-25.636047550000004,0.0005,26.641695022583008,-0.9340274930000305,15.76,2588,0.030200567096471786,91290,5816,35
