train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/learning_rate,time/time_elapsed
-0.30146533250808716,0.01977706514298916,1722965,0.05240679532289505,0.05,14.32,1723066,48,-27.8707999,15.006731033325195,97768,0.0005,35411
0.035859882831573486,0.019793987274169922,1723005,0.11150217056274414,0.05,14.22,1723106,48,-27.99464474,16.9169864654541,97772,0.0005,35412
-0.3477363884449005,0.01939292997121811,1723071,0.03428106755018234,0.05,14.35,1723172,48,-28.01608377,14.843799591064453,97776,0.0005,35413
0.8085753917694092,0.019215013831853867,1723150,0.5148621201515198,0.04,14.37,1723251,48,-28.165291690000004,16.192523956298828,97780,0.0005,35414
-0.005944162607192993,0.01918976381421089,1723202,0.017071805894374847,0.03,14.23,1723303,48,-28.601491709999994,15.001607894897461,97784,0.0005,35415
-0.5415048599243164,0.019381705671548843,1723250,0.0177875068038702,0.03,14.09,1723351,48,-28.669786590000005,16.056503295898438,97788,0.0005,35416
0.43766313791275024,0.019624339416623116,1723316,0.08324042707681656,0.04,14.03,1723417,48,-28.62260295,16.518327713012695,97792,0.0005,35417
-0.1911856085062027,0.019606566056609154,1723364,0.1752380132675171,0.04,14.0,1723465,48,-28.631739870000004,15.425657272338867,97796,0.0005,35418
0.14185591042041779,0.01955070160329342,1723417,0.0179329514503479,0.04,13.87,1723518,48,-28.914951579999997,16.187198638916016,97800,0.0005,35419
0.041060276329517365,0.019535310566425323,1723478,1.5252685546875,0.04,13.87,1723579,48,-28.889480909999993,16.377792358398438,97804,0.0005,35420
0.14373740553855896,0.019684018567204475,1723550,0.9579674005508423,0.06,13.99,1723651,48,-28.28554806,15.939046859741211,97808,0.0005,35421
-0.14094997942447662,0.019825125113129616,1723607,0.021908000111579895,0.06,14.06,1723708,48,-28.164639339999997,15.777717590332031,97812,0.0005,35422
0.8646141290664673,0.01965741626918316,1723666,0.047790367156267166,0.06,14.24,1723767,48,-27.895863650000003,16.33233642578125,97816,0.0005,35423
-0.08197981119155884,0.0199007298797369,1723712,0.05739159882068634,0.06,14.2,1723813,48,-27.888329719999998,16.901260375976562,97820,0.0005,35424
0.06483718752861023,0.020249584689736366,1723775,0.2584728002548218,0.06,14.31,1723876,48,-27.921823720000003,15.824752807617188,97824,0.0005,35425
-0.08221514523029327,0.02045707032084465,1723828,0.0959932953119278,0.07,14.26,1723929,48,-27.72518564,15.803228378295898,97828,0.0005,35426
0.2957005798816681,0.020996535196900368,1723889,0.12100117653608322,0.07,14.23,1723990,48,-27.720526589999995,15.440820693969727,97832,0.0005,35427
-0.029286324977874756,0.021103860810399055,1723935,0.10676290839910507,0.06,14.03,1724036,48,-28.184770150000006,16.488231658935547,97836,0.0005,35428
0.6671997308731079,0.02101723663508892,1724008,1.957606554031372,0.07,14.26,1724109,48,-27.766370339999998,16.16811752319336,97840,0.0005,35429
0.558393120765686,0.020905664190649986,1724052,0.03247113525867462,0.08,14.12,1724153,48,-27.701576540000005,17.111408233642578,97844,0.0005,35430
-0.5766510963439941,0.020444734022021294,1724109,0.04925195127725601,0.1,14.09,1724210,48,-27.18255701000001,16.790063858032227,97848,0.0005,35431
-0.6605536937713623,0.02013373374938965,1724150,0.019417548552155495,0.1,13.97,1724251,48,-27.45601896,15.903367042541504,97852,0.0005,35432
0.07888969779014587,0.01975763402879238,1724211,0.5421066880226135,0.1,14.06,1724312,48,-27.460302139999996,14.841644287109375,97856,0.0005,35433
-0.7107326984405518,0.019935039803385735,1724253,0.02235354855656624,0.1,13.94,1724354,48,-27.742677530000005,16.36014175415039,97860,0.0005,35433
-0.5482732057571411,0.019635742530226707,1724299,0.0873614177107811,0.09,13.95,1724400,48,-27.87591704,16.16996955871582,97864,0.0005,35434
0.3541482388973236,0.019183846190571785,1724350,0.020982155576348305,0.09,13.85,1724451,48,-27.977830150000003,16.500465393066406,97868,0.0005,35435
-0.5192863345146179,0.019020074978470802,1724401,0.10953263193368912,0.09,13.96,1724502,48,-27.904214030000002,15.892287254333496,97872,0.0005,35436
0.14091873168945312,0.01885533332824707,1724452,0.0912049263715744,0.1,13.81,1724553,48,-27.672262950000004,15.239313125610352,97876,0.0005,35437
0.20498347282409668,0.018860800191760063,1724493,0.055461980402469635,0.1,13.43,1724594,48,-28.19501597,15.679701805114746,97880,0.0005,35437
0.2521953582763672,0.01915304735302925,1724564,0.022838816046714783,0.11,13.62,1724665,48,-27.782670680000003,16.611621856689453,97884,0.0005,35439
0.33042246103286743,0.01943410374224186,1724628,0.6418464183807373,0.11,13.78,1724729,48,-27.500547009999995,15.671014785766602,97888,0.0005,35440
-0.4353894293308258,0.019065748900175095,1724683,0.03642643988132477,0.1,13.67,1724784,48,-27.858438980000003,16.27077865600586,97892,0.0005,35441
1.413280963897705,0.01906047761440277,1724733,0.14384107291698456,0.1,13.69,1724834,48,-27.80269485,17.097797393798828,97896,0.0005,35442
0.007207587361335754,0.019405458122491837,1724776,0.0164676234126091,0.11,13.59,1724877,48,-27.58274463,16.164051055908203,97900,0.0005,35442
0.6766197085380554,0.01945449225604534,1724848,0.7724828720092773,0.13,13.7,1724949,48,-26.93312279,15.52896499633789,97904,0.0005,35444
-0.049954384565353394,0.019478831440210342,1724899,0.023657262325286865,0.11,13.49,1725000,48,-27.73121527000001,15.808717727661133,97908,0.0005,35444
-0.42215293645858765,0.019231177866458893,1724950,0.026788339018821716,0.11,13.43,1725051,48,-27.87212940000001,16.272756576538086,97912,0.0005,35445
0.2544271647930145,0.019313260912895203,1725006,0.10964983701705933,0.11,13.4,1725107,48,-27.853376110000003,15.861276626586914,97916,0.0005,35446
-0.8879667520523071,0.01939450204372406,1725066,0.049136653542518616,0.13,13.54,1725167,48,-27.234306529999998,16.130844116210938,97920,0.0005,35447
0.10676553845405579,0.01939455233514309,1725119,0.029124878346920013,0.13,13.44,1725220,48,-27.324264830000008,15.761869430541992,97924,0.0005,35448
-0.722822368144989,0.019534047693014145,1725180,0.03748275339603424,0.12,13.52,1725281,48,-27.48890681,15.776018142700195,97928,0.0005,35449
-0.4203052520751953,0.019560860469937325,1725238,0.0237652026116848,0.12,13.49,1725339,48,-27.58134165,17.050622940063477,97932,0.0005,35450
-1.0035600662231445,0.019537871703505516,1725285,0.9124215245246887,0.12,13.5,1725386,48,-27.54822052,16.285079956054688,97936,0.0005,35451
-0.13851498067378998,0.019682778045535088,1725360,0.1050940528512001,0.11,13.52,1725461,48,-27.716569580000005,15.84153938293457,97940,0.0005,35452
1.3271386623382568,0.01995648257434368,1725414,0.2687532901763916,0.1,13.62,1725515,48,-27.93094852,16.371986389160156,97944,0.0005,35453
0.3661375641822815,0.020024504512548447,1725471,0.030969062820076942,0.1,13.62,1725572,48,-28.065600600000003,16.558483123779297,97948,0.0005,35454
0.3734506368637085,0.020004719495773315,1725512,0.04127760976552963,0.1,13.62,1725613,48,-28.113441009999995,16.63003158569336,97952,0.0005,35455
-0.12433040142059326,0.019828343763947487,1725569,0.05173259973526001,0.1,13.58,1725670,48,-28.11562637,15.94570255279541,97956,0.0005,35456
0.6289376020431519,0.019681483507156372,1725619,0.03811106085777283,0.1,13.66,1725720,48,-27.980629640000004,15.749807357788086,97960,0.0005,35457
0.1609988510608673,0.019762910902500153,1725665,0.11486288905143738,0.11,13.66,1725766,48,-27.816350319999998,15.65134048461914,97964,0.0005,35457
0.14122456312179565,0.020025210455060005,1725726,0.014109773561358452,0.12,13.76,1725827,48,-27.39047598,14.941263198852539,97968,0.0005,35459
-0.44840532541275024,0.020071005448698997,1725782,0.039460211992263794,0.14,13.81,1725883,48,-26.73694397,15.59627914428711,97972,0.0005,35460
-0.5261083841323853,0.01975041814148426,1725847,0.11925088614225388,0.13,13.95,1725948,48,-26.79628526,16.719219207763672,97976,0.0005,35461
-0.18766584992408752,0.01965472660958767,1725915,0.05218333378434181,0.13,14.22,1726016,48,-26.557389090000004,14.632932662963867,97980,0.0005,35462
1.39529550075531,0.019861141219735146,1725980,0.026767421513795853,0.12,14.16,1726081,48,-26.677241200000005,16.140491485595703,97984,0.0005,35463
1.1048301458358765,0.020209215581417084,1726043,0.04322966933250427,0.12,14.15,1726144,48,-26.82479549,17.488826751708984,97988,0.0005,35464
-0.20554636418819427,0.020143626257777214,1726095,0.030554357916116714,0.12,14.12,1726196,48,-26.93052677,16.26791763305664,97992,0.0005,35465
-0.529791533946991,0.019946251064538956,1726149,0.022280601784586906,0.12,14.16,1726250,48,-26.815389740000004,15.147961616516113,97996,0.0005,35466
0.032252728939056396,0.019931774586439133,1726205,0.014895865693688393,0.11,14.29,1726306,48,-26.897312679999995,14.989152908325195,98000,0.0005,35467
-0.2997015118598938,0.01974034309387207,1726265,0.02798456698656082,0.09,14.17,1726366,48,-27.51177503,14.779666900634766,98004,0.0005,35468
-0.7906473875045776,0.01960914209485054,1726315,0.016106169670820236,0.1,14.16,1726416,48,-27.30358418000001,15.351724624633789,98008,0.0005,35469
-0.304208368062973,0.019604571163654327,1726362,0.12588363885879517,0.1,14.12,1726463,48,-27.322839050000002,16.07708740234375,98012,0.0005,35469
-0.7361488342285156,0.019764909520745277,1726415,0.04065994545817375,0.1,14.09,1726516,48,-27.338261490000004,15.736654281616211,98016,0.0005,35470
0.9875582456588745,0.019829614087939262,1726465,0.05601755529642105,0.07,13.99,1726566,48,-28.112249690000002,15.567341804504395,98020,0.0005,35471
-0.4654122292995453,0.019780602306127548,1726532,0.025187324732542038,0.07,14.13,1726633,48,-27.822414750000007,14.810741424560547,98024,0.0005,35472
-1.0402040481567383,0.019805967807769775,1726584,0.029615916311740875,0.07,14.04,1726685,48,-27.98662946,14.528522491455078,98028,0.0005,35473
-0.02403274178504944,0.01993478648364544,1726644,0.0397852286696434,0.08,14.06,1726745,48,-27.731444140000008,17.06719207763672,98032,0.0005,35474
-0.5454021692276001,0.020189465954899788,1726712,0.03877665102481842,0.08,14.27,1726813,48,-27.33701508,16.23370361328125,98036,0.0005,35475
-0.1375027447938919,0.020230142399668694,1726767,0.04585690051317215,0.1,14.07,1726868,48,-26.921207589999998,15.949164390563965,98040,0.0005,35476
0.6271699666976929,0.019872641190886497,1726835,1.097253441810608,0.1,14.21,1726936,48,-26.67670084,15.400602340698242,98044,0.0005,35478
0.009677201509475708,0.019630173221230507,1726897,0.04365735128521919,0.09,14.26,1726998,48,-26.88818626,16.17744255065918,98048,0.0005,35479
-0.8676016330718994,0.01967347413301468,1726942,0.015111550688743591,0.1,14.3,1727043,48,-26.52597246,15.138998031616211,98052,0.0005,35479
0.14453434944152832,0.019549988210201263,1727011,0.04173542186617851,0.11,14.42,1727112,48,-26.21197986,15.659893035888672,98056,0.0005,35481
0.1356356292963028,0.019534552469849586,1727083,0.0427723303437233,0.12,14.64,1727184,48,-25.80798452,15.276741981506348,98060,0.0005,35482
0.7580084800720215,0.019561849534511566,1727140,0.6310948133468628,0.11,14.75,1727241,48,-25.879803359999997,16.41815948486328,98064,0.0005,35483
-0.2870028614997864,0.019875673577189445,1727197,0.11634869873523712,0.11,14.71,1727298,48,-25.867192199999998,16.174388885498047,98068,0.0005,35484
-0.46509385108947754,0.019506432116031647,1727256,0.12630346417427063,0.09,14.74,1727357,48,-26.37163014,17.236583709716797,98072,0.0005,35485
0.46385109424591064,0.019379280507564545,1727313,0.07306186109781265,0.1,14.66,1727414,48,-26.17536466,14.956689834594727,98076,0.0005,35486
0.1949140727519989,0.01934976875782013,1727368,1.200512409210205,0.11,14.53,1727469,48,-25.98279884,14.90737247467041,98080,0.0005,35487
0.6845988035202026,0.01928706467151642,1727415,0.021852459758520126,0.12,14.35,1727516,48,-26.06380877,16.501556396484375,98084,0.0005,35487
1.096096396446228,0.0194700937718153,1727474,0.03057107888162136,0.13,14.31,1727575,48,-25.722680800000006,15.540228843688965,98088,0.0005,35488
-0.14763867855072021,0.019582707434892654,1727529,0.05082478001713753,0.13,14.34,1727630,48,-25.610363310000004,15.77475643157959,98092,0.0005,35489
-0.21006804704666138,0.01924579218029976,1727582,0.06520251929759979,0.13,14.33,1727683,48,-25.604660460000005,16.325458526611328,98096,0.0005,35490
0.14104828238487244,0.019173648208379745,1727640,0.12072696536779404,0.13,14.35,1727741,48,-25.611850840000002,16.435632705688477,98100,0.0005,35491
0.07313835620880127,0.01919940859079361,1727692,0.025683186948299408,0.13,14.27,1727793,48,-25.760771389999995,16.79195213317871,98104,0.0005,35492
-0.7507631182670593,0.019169818609952927,1727758,0.994155764579773,0.12,14.43,1727859,48,-25.675806409999996,14.475154876708984,98108,0.0005,35493
-0.5509657859802246,0.019083471968770027,1727812,0.09183083474636078,0.12,14.5,1727913,48,-25.689730780000005,14.593332290649414,98112,0.0005,35494
0.24993526935577393,0.018896734341979027,1727863,0.07140610367059708,0.12,14.48,1727964,48,-25.794514620000008,16.147693634033203,98116,0.0005,35495
1.30466890335083,0.018738478422164917,1727917,0.06994980573654175,0.12,14.52,1728018,48,-25.682829740000003,16.098108291625977,98120,0.0005,35496
-0.8213819861412048,0.018872154876589775,1727975,0.0803888738155365,0.13,14.43,1728076,48,-25.656714379999997,16.331039428710938,98124,0.0005,35497
0.12288165092468262,0.01884402707219124,1728022,0.02069876901805401,0.13,14.38,1728123,48,-25.643241269999997,15.417364120483398,98128,0.0005,35498
-0.7467182874679565,0.01903167925775051,1728095,0.6109656095504761,0.12,14.51,1728196,48,-25.810347420000003,14.670695304870605,98132,0.0005,35499
0.7535971403121948,0.018875498324632645,1728183,0.041193149983882904,0.12,14.71,1728284,48,-25.863798869999993,16.32453155517578,98136,0.0005,35501
-0.0717889815568924,0.018942154943943024,1728244,0.062141045928001404,0.1,14.77,1728345,48,-26.418914960000002,16.32782745361328,98140,0.0005,35502
0.27166855335235596,0.01875598542392254,1728314,0.05733384191989899,0.12,14.79,1728415,48,-26.061838220000006,15.65417766571045,98144,0.0005,35503
-0.8300893306732178,0.018947618082165718,1728370,0.02337164431810379,0.12,14.73,1728471,48,-26.026297649999997,15.159293174743652,98148,0.0005,35504
0.12599685788154602,0.019133994355797768,1728432,0.032244399189949036,0.11,14.9,1728533,48,-25.963732479999997,16.12303352355957,98152,0.0005,35505
